"filename", "language", "Markdown", "Properties", "JavaScript", "XML", "JavaScript JSX", "CSS", "TypeScript JSX", "JSON", "HTML", "comment", "blank", "total"
"d:\personal-project\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\personal-project\backend\.env", "Properties", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 5, 25
"d:\personal-project\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 2896, 0, 0, 1, 2897
"d:\personal-project\backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"d:\personal-project\backend\src\config\db.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\personal-project\backend\src\config\passport.config.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 22, 6, 61
"d:\personal-project\backend\src\config\s3.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"d:\personal-project\backend\src\controllers\job.controller.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 7, 25
"d:\personal-project\backend\src\controllers\notification.controller.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\personal-project\backend\src\controllers\project.controller.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 9, 51
"d:\personal-project\backend\src\controllers\project_user.controller.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 8, 52
"d:\personal-project\backend\src\controllers\user.controller.js", "JavaScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 25, 30, 195
"d:\personal-project\backend\src\index.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 21, 13, 64
"d:\personal-project\backend\src\middlewares\auth.middleware.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 23, 9, 62
"d:\personal-project\backend\src\models\job.model.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 9, 38
"d:\personal-project\backend\src\models\notification.model.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 6, 15, 90
"d:\personal-project\backend\src\models\project.model.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 25, 11, 85
"d:\personal-project\backend\src\models\project_user.model.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 3, 13, 85
"d:\personal-project\backend\src\models\user.model.js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 0, 0, 15, 42, 247
"d:\personal-project\backend\src\routes\index.route.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 11, 8, 29
"d:\personal-project\backend\src\routes\project.route.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 12, 48
"d:\personal-project\backend\src\routes\user.route.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 13, 25, 87
"d:\personal-project\backend\src\utils\env.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"d:\personal-project\backend\src\utils\tools.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\personal-project\backend\src\utils\uploadToS3.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 7, 48
"d:\personal-project\backend\src\utils\url.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\personal-project\forTest\fetchTest.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\personal-project\forTest\sort.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\personal-project\frontend\.eslintrc.cjs", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\personal-project\frontend\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\personal-project\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\personal-project\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5353, 0, 0, 1, 5354
"d:\personal-project\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"d:\personal-project\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\personal-project\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\personal-project\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 1, 43
"d:\personal-project\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"d:\personal-project\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\personal-project\frontend\src\components\common\Footer\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\personal-project\frontend\src\components\common\Header\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 214, 0, 0, 0, 0, 2, 18, 234
"d:\personal-project\frontend\src\components\dialog\BasicDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 7, 59
"d:\personal-project\frontend\src\components\dialog\CreateProject.jsx", "JavaScript JSX", 0, 0, 0, 0, 320, 0, 0, 0, 0, 24, 29, 373
"d:\personal-project\frontend\src\components\dialog\EditProfileDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 336, 0, 0, 0, 0, 34, 23, 393
"d:\personal-project\frontend\src\components\dialog\InviteDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"d:\personal-project\frontend\src\components\dialog\JoinProjectDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"d:\personal-project\frontend\src\components\dialog\LogoutDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"d:\personal-project\frontend\src\components\dialog\UpdateProfileSucessDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"d:\personal-project\frontend\src\components\homepage\HomePagePanel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 5, 103
"d:\personal-project\frontend\src\components\hooks\useWindowWidth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 6, 22
